index,word,assigned_image
1,animal,image1.png
2,armchair,image2.png
3,baby,image3.png
4,bath,image4.png
5,bathroom,image5.png
6,bed,image6.png
7,bedroom,image7.png
8,bird,image8.png
9,big,image9.png
10,book,image10.png
11,bookcase,image11.png
12,box,image12.png
13,boy,image13.png
14,cake,image14.png
15,cat,image15.png
16,chair,image16.png
17,child,image17.png
18,clean,image18.png
19,colour,image19.png
20,crocodile,image20.png
21,cupboard,image21.png
22,dad,image22.png
23,desk,image23.png
24,dining room,image24.png
25,donkey,image25.png
26,door,image26.png
27,duck,image27.png
28,elephant,image28.png
29,face,image29.png
30,family,image30.png
31,flat,image31.png
32,flower,image32.png
33,football,image33.png
34,fries,image34.png
35,frog,image35.png
36,game,image36.png
37,garden,image37.png
38,grandfather,image38.png
39,grandma,image39.png
42,hall,image40.png
43,hat,image41.png
44,hippo,image42.png
45,home,image43.png
46,house,image44.png
47,lamp,image45.png
48,mat,image46.png
49,mirror,image47.png
50,mother,image48.png
51,mum,image49.png
52,number,image50.png
53,orange,image51.png
54,painting,image52.png
55,pen,image53.png
56,pencil,image54.png
57,pet,image55.png
58,piano,image56.png
59,right,image57.png
60,rug,image58.png
61,shoe,image59.png
62,snake,image60.png
63,sock,image61.png
64,sofa,image62.png
65,story,image63.png
66,sweets,image64.png
67,table,image65.png
68,teeth,image66.png
69,today,image67.png
70,toy,image68.png